<pt>	v2	v2 err	 v2 syserr	(1/Nevt)d2N/dptdeta	err	entrality(d-40)     (Npart = 240.0)  
0.254 	0.0321 	9.28e-05 	0.0004815 	537 	0.0142
0.351 	0.0468 	8.29e-05 	0.000702 	485 	0.0135
0.449 	0.0617 	8.37e-05 	0.0009255 	418 	0.0125
0.549 	0.076 	8.88e-05 	0.00114 	348 	0.0114
0.694 	0.0951 	7.1e-05 	0.0014265 	261 	0.00991
0.894 	0.118 	8.61e-05 	0.00177 	175 	0.00812
1.09 	0.139 	0.000105 	0.002085 	117 	0.00664
1.38 	0.162 	9.93e-05 	0.00243 	66.4 	0.00499
1.76 	0.19 	0.000153 	0.00285 	29.6 	0.00333
2.21 	0.214 	0.000232 	0.00321 	12 	0.00213
2.71 	0.227 	0.000371 	0.003405 	4.8 	0.00134
3.22 	0.228 	0.000577 	0.00342 	1.99 	0.000864
3.72 	0.218 	0.000863 	0.00327 	0.879 	0.000575
4.39 	0.194 	0.001 	0.00291 	0.321 	0.000347
5.42 	0.158 	0.00179 	0.00237 	0.099 	0.000193
6.75 	0.13 	0.00233 	0.00195 	0.029 	0.000115
8.82 	0.0946 	0.0045 	0.001419 	0.00755 	5.81e-05
10.9 	0.082 	0.00744 	0.00123 	0.00273 	3.49e-05
13.5 	0.0806 	0.00908 	0.001209 	0.000911 	2.85e-05
18.2 	0.0715 	0.0155 	0.0010725 	0.000207 	1.67e-05
