mincent  maxcent  npart   e2      e3       e4       e5      e6      e4_2         e6_2         e6_3
0   5  382.77  0.0530156  0.0514982  0.056814  0.0599719  0.0534838  0.0825734  0.106702  0.106702
5   10  329.731  0.0602409  0.0435399  0.0474782  0.0624669  0.0832791  0.103374  0.131212  0.131212
10   15  281.475  0.122002  0.0641222  0.077109  0.0847945  0.104086  0.120837  0.153228  0.153228
15   20  239.148  0.170977  0.0788042  0.100099  0.110364  0.121599  0.137304  0.171039  0.171039
20   25  202.215  0.214377  0.090154  0.128194  0.141758  0.147597  0.153461  0.187513  0.187513
25   30  169.821  0.252461  0.108528  0.150818  0.16502  0.174337  0.174801  0.204909  0.204909
30   35  141.298  0.288293  0.123591  0.191975  0.194364  0.21185  0.188728  0.217457  0.217457
35   40  116.413  0.322401  0.152773  0.222933  0.228336  0.244384  0.203785  0.233305  0.233305
40   45  94.6358  0.355259  0.174553  0.256906  0.262375  0.281124  0.2144  0.250596  0.250596
45   50  75.7133  0.386957  0.206359  0.292657  0.298446  0.317518  0.222711  0.266087  0.266087
50   55  59.5626  0.420101  0.242838  0.331405  0.335893  0.352773  0.205766  0.274867  0.274867
55   60  45.7506  0.455244  0.274986  0.368286  0.36977  0.386826  0.126158  0.283566  0.283566
60   65  34.4848  0.493047  0.305835  0.406968  0.403288  0.420204  0.235988  0.279266  0.279266
65   70  25.2183  0.537292  0.329383  0.448133  0.429025  0.452165  0.321121  0.264049  0.264049
70   75  18.0898  0.577504  0.338639  0.486658  0.449598  0.48769  0.372957  0.239703  0.239703
75   80  12.637  0.619014  0.325744  0.52714  0.462533  0.541441  0.420535  0.15059  0.15059
80   85  8.77892  0.659131  0.265757  0.58029  0.458136  0.613161  0.485686  0.35625  0.35625
85   90  6.17162  0.703763  0.276312  0.644891  0.411041  0.693342  0.569159  0.505827  0.505827
90   95  4.40096  0.758303  0.382117  0.723902  0.270747  0.775501  0.670956  0.647245  0.647245
95   100  3.0708  0.842769  0.451616  0.830229  0.479333  0.8712  0.804748  0.803366  0.803364
