  0.35	-0.0019	0.002138	-0.00103651
  0.45	 0.0008	0.0021394	0.000302773
  0.55	 0.0013	0.0022515	0.000457771
  0.69	 0.0007	0.0017857	0.000263296
  0.89	 0.0044	0.0021417	0.00155408
  1.09	 0.0051	0.0025965	0.00179178
  1.38	 0.0063	0.0024055	0.00221417
  1.76	 0.0106	0.0036619	0.00373221
  2.21	 0.0240	0.0055472	0.00850473
  2.71	 0.0415	0.0088877	0.0146812
  3.21	 0.0073	0.013996	0.00256829
  3.72	 0.0208	0.021384	0.00734804
  4.39	 0.0549	0.025714	0.0194361
  5.41	 0.0019	0.047583	0.000689279
  6.75	 0.0857	0.062931	0.0303147
