0.35044	-6.8568e-06	0.00035592	-1.0285e-07
0.44923	0.00022914	0.00036092	3.4371e-06
0.54874	0.00071485	0.00038378	1.0723e-05
0.69382	0.0015514	0.00030824	2.3271e-05
0.8933	0.0017353	0.00037448	2.603e-05
1.0932	0.0024833	0.0004578	3.7249e-05
1.3772	0.0038281	0.00043154	5.7422e-05
1.76	0.0071504	0.00066202	0.00010726
2.2115	0.0088897	0.00099344	0.00013334
2.7137	0.0094663	0.0015702	0.00014199
3.2162	0.012614	0.002408	0.0001892
3.7193	0.005573	0.0035641	8.3594e-05
4.3972	0.0092028	0.004098	0.00013804
5.4176	-0.0049716	0.0072557	-7.4573e-05
6.759	0.002029	0.0095137	3.0434e-05
