mincent  maxcent  npart   e2      e3       e4       e5      e6      e4_2         e6_2         e6_3
0   10  356.25  0.108005  0.11417  0.132061  0.15103  0.170626  0.0930487  0.120447  0.120447
10   20  260.312  0.198312  0.165978  0.187022  0.211885  0.234754  0.133542  0.166282  0.166282
20   30  186.018  0.282374  0.210213  0.239843  0.263968  0.28816  0.179507  0.203783  0.203783
30   40  128.856  0.357684  0.256601  0.301298  0.322283  0.346585  0.238362  0.246508  0.246508
40   50  85.1746  0.42895  0.308057  0.370212  0.385489  0.41016  0.307485  0.296744  0.296744
50   60  52.6567  0.501233  0.366437  0.44489  0.454158  0.474812  0.384862  0.354995  0.354995
60   70  29.8516  0.580713  0.42228  0.519652  0.512978  0.533859  0.465996  0.416893  0.416893
70   80  15.3634  0.662193  0.45994  0.596148  0.559439  0.608807  0.549031  0.496626  0.496626
80   90  7.47527  0.745023  0.47724  0.699921  0.587244  0.729473  0.661738  0.63199  0.63199
90   100  3.73587  0.849565  0.438714  0.835359  0.525482  0.864144  0.815537  0.810254  0.810253
